58	0.016	1	0	task-0:0.47	|	0.224965	0.315067	0.306933	0.249919	0.222635	0.237415	0.237339	0.225405	0.223589	0.223583	0.222293	0.222289	0.222326	0.222329	0.222169	0.222357	0.22236	0.22222	0.222184	0.222187	0.222192	0.222196	0.222196	0.222208	0.222214	0.222215	0.222218	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222208	0.219705	0.221333	0.216415	0.219935	0.222054	0.222165	

58	0.031	1	0	task-0:0.47	|	0.224965	0.315067	0.306933	0.249919	0.222635	0.237415	0.237339	0.225405	0.223589	0.223583	0.222293	0.222289	0.222326	0.222329	0.222169	0.222357	0.22236	0.22222	0.222184	0.222187	0.222192	0.222196	0.222196	0.222208	0.222214	0.222215	0.222218	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222208	0.219705	0.221333	0.216415	0.219935	0.222054	0.222165	

58	0.016	1	0	task-0:0.47	|	0.220733	0.306906	0.306117	0.250104	0.222668	0.237209	0.237185	0.225362	0.223648	0.223646	0.222316	0.222316	0.222373	0.222374	0.222203	0.222377	0.222378	0.222242	0.222211	0.222212	0.222211	0.222213	0.222212	0.222214	0.222217	0.222219	0.22222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222218	0.221349	0.209876	0.209876	0.22101	0.221814	0.221329	

83	0.031	1	0	task-0:0.47	|	0.248698	0.274967	0.274967	0.230371	0.264298	0.264298	0.228733	0.23258	0.231798	0.22372	0.229927	0.229533	0.224021	0.223748	0.223562	0.222756	0.222559	0.222337	0.222006	0.221618	0.221188	0.220604	0.219862	0.218909	0.217677	0.216089	0.214044	0.211423	0.208273	0.204846	0.20156	0.198874	0.197171	0.196365	0.193727	0.191548	0.189054	0.184489	0.180025	0.175173	0.170136	0.166221	0.165627	0.161545	0.157469	0.154652	0.152994	0.15389	0.152077	0.153327	0.156094	0.15997	0.164236	0.169482	0.169542	0.171458	0.174801	0.178926	0.183746	0.186311	0.187077	0.189133	0.189133	0.18743	0.187907	0.188328	0.188737	0.188678	0.188368	0.188283	0.188256	0.188266	0.18827	0.188286	0.188119	0.188035	0.187949	0.187855	0.18797	0.188052	0.187899	0.18783	0.187755	

58	0.016	1	0	task-0:0.47	|	0.224965	0.315067	0.306933	0.249919	0.222635	0.237415	0.237339	0.225405	0.223589	0.223583	0.222293	0.222289	0.222326	0.222329	0.222169	0.222357	0.22236	0.22222	0.222184	0.222187	0.222192	0.222196	0.222196	0.222208	0.222214	0.222215	0.222218	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222208	0.219705	0.221333	0.216415	0.219935	0.222054	0.222165	

53	0.015	1	0	task-0:0.47	|	0.225169	0.274438	0.259212	0.226282	0.226851	0.226851	0.222254	0.228301	0.228301	0.22346	0.222405	0.222405	0.222331	0.222331	0.222225	0.222225	0.222241	0.222241	0.222224	0.222227	0.222227	0.222222	0.222225	0.222225	0.222223	0.222223	0.222223	0.222222	0.222223	0.2221	0.210177	0.210014	0.217721	0.218185	0.211374	0.21223	0.218032	0.219603	0.220044	0.220553	0.22103	0.221249	0.221283	0.221116	0.220577	0.21908	0.221069	0.221259	0.221264	0.221051	0.220398	0.218556	0.220861	

58	0.016	1	0	task-0:0.47	|	0.220733	0.306906	0.306117	0.250104	0.222668	0.237209	0.237185	0.225362	0.223648	0.223646	0.222316	0.222316	0.222373	0.222374	0.222203	0.222377	0.222378	0.222242	0.222211	0.222212	0.222211	0.222213	0.222212	0.222214	0.222217	0.222219	0.22222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222218	0.221349	0.209876	0.209876	0.22101	0.221814	0.221329	

